latitude,longitude,time
43.44383,6.76728,1254560773.0
43.48308,1.57029,1254562354.0
43.4901,1.56436,1254562414.0
43.50372,1.55787,1254562475.0
43.50574,1.55672,1254562533.0
43.5061,1.55612,1254562593.0
43.50619,1.55616,1254564153.0
43.50603,1.55655,1254564213.0
43.50594,1.55612,1254564273.0
43.50641,1.55604,1254564394.0
43.50619,1.55607,1254564454.0
43.50593,1.55691,1254564514.0
43.50594,1.55691,1254564574.0
43.50516,1.55567,1254564634.0
43.49547,1.56262,1254564694.0
43.48887,1.56858,1254564754.0
43.48279,1.57219,1254564814.0
43.4708,1.57253,1254564874.0
43.46336,1.56978,1254564934.0
43.46011,1.57076,1254564994.0
43.45834,1.5716,1254565054.0
43.45823,1.57133,1254565114.0
43.45851,1.57185,1254565235.0
43.45856,1.57187,1254565295.0
43.45861,1.57183,1254565355.0
43.45854,1.57162,1254565415.0
43.45822,1.57129,1254565475.0
43.45785,1.57039,1254565533.0
43.45878,1.5717,1254565653.0
43.45887,1.57131,1254565713.0
43.45866,1.57143,1254565773.0
43.45859,1.57157,1254565833.0
43.4588,1.57183,1254565893.0
43.45831,1.57179,1254565953.0
43.45835,1.57184,1254566013.0
43.4584,1.57176,1254566073.0
43.45842,1.57173,1254566133.0
43.45844,1.57176,1254566193.0
43.45846,1.57165,1254566253.0
43.45853,1.57174,1254566313.0
43.45841,1.57168,1254566373.0
43.45849,1.57182,1254566433.0
43.45847,1.57176,1254566493.0
43.45848,1.5718,1254566553.0
43.45838,1.57175,1254566613.0
43.45843,1.57171,1254566673.0
43.45836,1.57159,1254566733.0
43.45846,1.57146,1254566793.0
43.45844,1.57169,1254566853.0
43.45858,1.57155,1254566913.0
43.45849,1.57175,1254566973.0
43.45855,1.57177,1254567033.0
43.45877,1.57168,1254567093.0
43.45848,1.57117,1254567213.0
43.45844,1.57215,1254567273.0
43.45892,1.57201,1254567393.0
43.45863,1.57175,1254567453.0
43.45868,1.57219,1254567513.0
43.45854,1.57203,1254567573.0
43.45855,1.57178,1254567633.0
43.45861,1.57173,1254567693.0
43.4586,1.57188,1254567753.0
43.45822,1.57219,1254567813.0
43.45853,1.57192,1254567873.0
43.45847,1.57196,1254567934.0
43.45838,1.57183,1254567994.0
43.45878,1.57193,1254570454.0
43.45866,1.57184,1254570514.0
43.45864,1.57182,1254570574.0
43.4585,1.57167,1254570634.0
43.45847,1.57184,1254570694.0
43.45841,1.57175,1254570753.0
43.45842,1.57159,1254570813.0
43.45858,1.57191,1254570873.0
43.45852,1.57178,1254570933.0
43.45845,1.57169,1254570993.0
43.45853,1.57182,1254571053.0
43.45874,1.57189,1254571113.0
43.45877,1.57203,1254571173.0
43.45883,1.57194,1254571233.0
43.45867,1.57192,1254571413.0
43.4585,1.57174,1254571473.0
43.45839,1.57177,1254571533.0
43.45841,1.57168,1254571593.0
43.45844,1.57171,1254571713.0
43.45829,1.57158,1254571773.0
43.45868,1.57181,1254571833.0
43.45849,1.57175,1254571893.0
43.45865,1.572,1254572013.0
43.4585,1.57176,1254572073.0
43.45852,1.57167,1254572193.0
43.45864,1.5718,1254572253.0
43.45852,1.57173,1254572313.0
43.45857,1.57184,1254572373.0
43.4585,1.57179,1254572433.0
43.45846,1.57175,1254572493.0
43.45865,1.57168,1254572553.0
43.45861,1.57161,1254572613.0
43.45847,1.5716,1254572673.0
43.4586,1.5718,1254572733.0
43.45869,1.57175,1254572793.0
43.45869,1.57172,1254572853.0
43.45847,1.57173,1254572913.0
43.45858,1.57175,1254572973.0
43.45855,1.57177,1254573033.0
43.45861,1.57175,1254573093.0
43.45883,1.57188,1254573153.0
43.45871,1.57205,1254573213.0
43.45859,1.57181,1254573273.0
43.45873,1.57145,1254573333.0
43.45855,1.57169,1254573393.0
43.45856,1.57178,1254573453.0
43.45855,1.57218,1254573513.0
43.45881,1.57191,1254573573.0
43.45854,1.57181,1254573634.0
43.45855,1.57178,1254573694.0
43.45848,1.57183,1254573754.0
43.45855,1.57181,1254573814.0
43.4586,1.5715,1254573874.0
43.45859,1.57156,1254573994.0
43.45859,1.5716,1254574054.0
43.45864,1.57143,1254574114.0
43.45853,1.57168,1254574174.0
43.45857,1.57148,1254574230.0
43.45854,1.57155,1254574290.0
43.45831,1.57194,1254574350.0
43.45844,1.5716,1254574470.0
43.45847,1.5718,1254574590.0
43.45883,1.5715,1254574710.0
43.45852,1.57178,1254574770.0
43.45843,1.57175,1254574830.0
43.45874,1.57138,1254574950.0
43.45866,1.57158,1254575010.0
43.45861,1.5715,1254575130.0
43.45865,1.5715,1254575190.0
43.45872,1.57163,1254575250.0
43.45863,1.57167,1254575310.0
43.45877,1.57129,1254575370.0
43.45887,1.57155,1254575430.0
43.45874,1.57152,1254575490.0
43.45847,1.57156,1254575550.0
43.45843,1.57179,1254575670.0
43.45846,1.57179,1254575730.0
43.45845,1.57175,1254575790.0
43.45837,1.5718,1254575850.0
43.45838,1.57179,1254575909.0
43.45846,1.57178,1254575969.0
43.45844,1.5717,1254576029.0
43.45829,1.57168,1254576089.0
43.45838,1.57168,1254576149.0
43.45792,1.57283,1254576269.0
43.4584,1.57218,1254576329.0
43.45842,1.57188,1254576389.0
43.45836,1.57194,1254576449.0
43.45854,1.57188,1254576509.0
43.45861,1.57177,1254576569.0
43.4581,1.57195,1254576689.0
43.45833,1.57191,1254576749.0
43.45861,1.57174,1254576809.0
43.45833,1.57201,1254576869.0
43.45855,1.57177,1254576929.0
43.45834,1.57185,1254576989.0
43.45833,1.57178,1254577049.0
43.45842,1.5718,1254577109.0
43.45849,1.57181,1254577169.0
43.4586,1.57174,1254577229.0
43.45865,1.57169,1254577469.0
43.45829,1.57188,1254577529.0
43.45829,1.57185,1254577589.0
43.45824,1.57188,1254577649.0
43.45824,1.57217,1254585149.0
43.45834,1.57185,1254586349.0
43.45813,1.57198,1254586409.0
43.45841,1.57182,1254586469.0
43.45873,1.57145,1254586895.0
43.45877,1.57164,1254586955.0
43.45906,1.5716,1254587014.0
43.45924,1.57215,1254587075.0
43.45932,1.57253,1254587135.0
43.45966,1.57228,1254587195.0
43.45993,1.57191,1254587255.0
43.46029,1.57182,1254587315.0
43.46045,1.57164,1254587375.0
43.46068,1.57153,1254587432.0
43.46104,1.57119,1254587492.0
43.46152,1.571,1254587552.0
43.46205,1.5709,1254587734.0
43.46223,1.57052,1254587794.0
43.46237,1.5702,1254587854.0
43.46256,1.57012,1254587914.0
43.46276,1.57051,1254587974.0
43.46293,1.57042,1254588032.0
43.46316,1.57026,1254588092.0
43.46332,1.57025,1254588152.0
43.4632,1.57051,1254588212.0
43.46316,1.57065,1254588272.0
43.46295,1.57087,1254588332.0
43.46277,1.57103,1254588392.0
43.46257,1.57129,1254588452.0
43.46228,1.57145,1254588512.0
43.46204,1.57155,1254588574.0
43.46185,1.57168,1254588632.0
43.46197,1.57164,1254588692.0
43.4619,1.57161,1254588752.0
43.46192,1.57154,1254588812.0
43.46196,1.57155,1254588872.0
43.46188,1.57163,1254588932.0
43.46191,1.57162,1254588992.0
43.46192,1.57167,1254589052.0
43.46189,1.57165,1254589112.0
43.46172,1.5715,1254589172.0
43.46179,1.5716,1254589233.0
43.46184,1.57179,1254589353.0
43.46192,1.5716,1254589413.0
43.46192,1.57162,1254589474.0
43.46208,1.57168,1254589534.0
43.46195,1.57166,1254589594.0
43.46191,1.57158,1254589654.0
43.46193,1.57163,1254589714.0
43.46177,1.57158,1254589774.0
43.46185,1.57158,1254589833.0
43.46185,1.57157,1254589893.0
43.46185,1.57159,1254589953.0
43.46183,1.57158,1254590013.0
43.46183,1.57158,1254590073.0
43.46185,1.5716,1254590133.0
43.46186,1.57157,1254590193.0
43.46191,1.5716,1254590253.0
43.46192,1.57161,1254590313.0
43.46192,1.57161,1254590373.0
43.46195,1.57162,1254590433.0
43.46194,1.57163,1254590493.0
43.4619,1.57165,1254590553.0
43.46188,1.57167,1254590613.0
43.462,1.57151,1254590673.0
43.46203,1.5714,1254590734.0
43.46228,1.5713,1254590794.0
43.4625,1.57109,1254590853.0
43.46272,1.57089,1254590913.0
43.46302,1.57076,1254590973.0
43.46311,1.5705,1254591033.0
43.46337,1.57046,1254591095.0
43.46326,1.57025,1254591155.0
43.463,1.5704,1254591215.0
43.4627,1.57042,1254591275.0
43.46255,1.57031,1254591333.0
43.46218,1.57035,1254591393.0
43.46211,1.57076,1254591453.0
43.46165,1.57095,1254591513.0
43.46161,1.57092,1254591573.0
43.46133,1.5712,1254591633.0
43.46129,1.57128,1254591697.0
43.46106,1.5715,1254591756.0
43.46099,1.57154,1254591816.0
43.46089,1.57164,1254591877.0
43.46084,1.57161,1254591936.0
43.46084,1.57237,1254591996.0
43.4603,1.57208,1254592056.0
43.46015,1.57217,1254592116.0
43.46018,1.5727,1254592177.0
43.45967,1.57232,1254592238.0
43.45938,1.57236,1254592298.0
43.45905,1.57199,1254592358.0
43.45888,1.57182,1254592418.0
43.45863,1.57176,1254592477.0
43.4587,1.57211,1254592538.0
43.4582,1.57193,1254592598.0
43.45842,1.57197,1254592658.0
43.45842,1.57159,1254592718.0
43.4584,1.57174,1254592778.0
43.45852,1.57169,1254592838.0
43.45853,1.57172,1254592898.0
43.45835,1.57168,1254592958.0
43.4583,1.57203,1254593018.0
43.45815,1.57267,1254593138.0
43.45803,1.57299,1254593198.0
43.45775,1.57322,1254593258.0
43.45766,1.57345,1254593318.0
43.45772,1.57362,1254593378.0
43.45768,1.57348,1254593436.0
43.45767,1.57353,1254593496.0
43.45761,1.57351,1254593556.0
43.45761,1.57353,1254593616.0
43.45768,1.57358,1254593676.0
43.45768,1.5736,1254593736.0
43.45762,1.57357,1254593795.0
43.45765,1.57352,1254593855.0
43.45766,1.57352,1254593915.0
43.45759,1.57354,1254593975.0
43.45771,1.57362,1254594035.0
43.45772,1.57359,1254594095.0
43.45768,1.57355,1254594155.0
43.45768,1.57354,1254594215.0
43.45767,1.57354,1254594277.0
43.45767,1.57352,1254594337.0
43.45767,1.57352,1254594397.0
43.45762,1.57351,1254594457.0
43.45764,1.5735,1254594517.0
43.45764,1.57351,1254594577.0
43.45765,1.57354,1254594633.0
43.45766,1.57352,1254594693.0
43.45764,1.57352,1254594753.0
43.45768,1.57353,1254594813.0
43.4577,1.57352,1254594873.0
43.45771,1.57352,1254594933.0
43.45771,1.57353,1254594993.0
43.45767,1.57352,1254595053.0
43.45769,1.57343,1254595113.0
43.45783,1.57332,1254595173.0
43.45797,1.57301,1254595233.0
43.45804,1.57273,1254595293.0
43.45774,1.57224,1254595353.0
43.45805,1.57177,1254595413.0
43.45755,1.57146,1254595777.0
43.45746,1.57174,1254595835.0
43.45821,1.57181,1254595895.0
43.45837,1.57171,1254596015.0
43.45914,1.57182,1254596135.0
43.45797,1.57178,1254596315.0
43.45877,1.57188,1254597756.0
43.45849,1.57123,1254597876.0
43.45831,1.57157,1263665532.0
